99.9431171786,99.9473407056,99.9383096854,99.9542124542,99.948927477,99.9557130204,99.9546485261,99.9671484888,99.9656593407,99.8082913971,99.9696693964,99.7414350356
99.9413489736,99.9284692418,99.9528968441,99.9555752999,99.9597909127,99.9509563512,99.9527633444,99.9558888399,99.8338870432,99.8108210367,99.3701889433,99.0514905149
99.9360613811,99.9390986602,99.9290780142,99.951290794,99.9596611537,99.9433106576,99.9641577061,99.9589827728,99.6265172736,98.8895058301,95.131326073,93.3874709977
99.9492127984,99.947312961,99.9469,99.9467234949,99.9438202247,99.9551569507,99.9584717608,99.6875976257,98.3861992209,95.066480056,95.5392433653,91.4575411914
99.9432140829,99.9389126451,99.9456816947,99.9539170507,99.944598338,99.9147121535,99.9627837737,99.3361496681,99.3215339233,95.4674220963,87.5608436993,80.5076719076
99.9479979199,99.9475065617,99.9487704918,99.931880109,99.9472295515,99.9602859412,99.9586606036,97.7995110024,95.0797512841,94.4444444444,79.9312714777,82.3209876543
99.9515738499,99.9355254674,99.9443207127,99.9436936937,99.9396863691,99.8984771574,99.7935590421,99.3330369053,97.8924418605,92.1600432549,85.0253807107,79.0968342644
99.9525841631,99.9367888748,99.9405116002,99.9404052443,99.9577702703,99.9559859155,99.3684992571,99.2647058824,97.9493752003,88.1710434581,75.1337470576,57.9015784587
99.9503968254,99.9584545077,99.9435665914,99.9545867393,99.9541914796,99.6872556685,99.7277985709,95.205974464,94.5102571511,85.2651722253,68.6051411715,75.6226415094
99.948024948,99.9522445081,99.9487179487,99.9541704858,99.9627560521,99.9323410014,98.962962963,95.7755775578,86.3394109397,86.968149769,72.819216182,77.0962296005
99.9498495486,99.9484536082,99.9589827728,99.9510763209,99.9295774648,99.4374729554,98.1048920229,98.0592801694,93.5917721519,83.4569732938,59.9837166701,60.2426837973
99.942791762,99.9529411765,99.9615532488,99.9623635679,99.9504214179,99.3944636678,97.6553672316,92.8744286098,88.110521909,88.0506940253,64.3560026241,56.964780372
99.959049959,99.9600479425,99.9585578119,99.9576091564,99.9187982136,99.0362246594,96.873,91.6915720263,83.9727195226,63.0233583076,58.8397790055,49.5732
99.9589827728,99.9556933983,99.9585578119,99.9557913351,99.8882265276,99.533954727,96.2716763006,91.9301164725,73.5318275154,65.2824915153,60.5268887437,42.9913566328
